comic_num,panels,words
533,0,144
534,0,54
535,0,73
536,0,70
537,0,76
538,0,89
539,0,74
540,5,384
541,0,143
542,0,87
543,0,31
544,0,73
545,0,68
546,0,117
547,0,100
548,0,123
549,0,86
550,0,57
551,0,122
552,0,55
553,0,60
554,0,110
555,0,71
556,0,239
557,0,143
558,0,77
559,0,76
560,0,165
561,0,165
562,0,130
563,0,93
564,0,96
565,0,104
566,0,385
567,0,105
568,4,112
569,0,155
570,0,79
571,4,132
572,0,192
573,0,111
574,0,215
575,0,98
576,0,148
577,0,33
578,0,224
579,0,208
580,0,373
581,0,67
582,1,59
583,4,79
584,5,227
585,16,240
586,4,121
587,2,92
588,4,129
589,4,170
590,1,70
591,6,315
592,4,127
593,6,208
594,4,57
595,6,115
596,3,144
597,4,93
598,4,115
599,12,214
600,5,92
601,4,63
602,11,449
603,7,197
604,3,99
605,1,107
606,4,147
607,2,65
608,4,105
609,24,127
610,1,64
611,5,215
612,2,81
613,3,47
614,17,191
615,4,137
616,4,125
617,8,185
618,4,151
619,2,88
620,11,190
621,4,150
622,4,84
623,8,158
624,4,85
625,4,91
626,5,56
627,12,225
628,4,109
629,3,102
630,0,50
631,4,143
632,3,162
633,6,205
634,1,79
635,7,213
636,4,90
637,3,97
638,2,75
639,2,82
640,4,142
641,1,67
642,5,106
643,1,39
644,4,105
645,1,24
646,1,66
647,4,117
648,2,70
649,5,119
650,3,54
651,1,112
652,4,111
653,1,144
654,6,137
655,4,88
656,1,59
657,6,343
658,1,99
659,5,113
660,4,90
661,5,121
662,3,115
663,6,88
664,5,146
665,8,95
666,4,190
667,5,97
668,1,70
669,9,112
670,4,88
671,4,126
672,4,162
673,4,173
674,4,85
675,4,147
676,1,97
677,7,138
678,0,127
679,0,117
680,0,116
681,9,565
682,2,49
683,10,214
684,5,122
685,5,102
686,4,98
687,2,85
688,3,147
689,13,268
690,1,81
691,4,173
692,2,82
693,5,183
694,4,111
695,10,198
696,6,118
697,1,168
698,10,104
699,2,75
700,5,160
701,5,209
702,14,205
703,3,181
704,4,163
705,3,118
706,5,139
707,3,57
708,4,119
709,2,84
710,1,111
711,2,80
712,4,177
713,3,114
714,4,110
715,11,430
716,4,108
717,4,51
718,2,203
719,2,99
720,3,116
721,4,135
722,3,87
723,5,188
724,1,73
725,4,177
726,4,73
727,4,131
728,4,94
729,8,132
730,11,974
731,1,130
732,2,96
733,2,79
734,4,129
735,1,120
736,1,69
737,3,156
738,1,69
739,1,119
740,3,179
741,1,96
742,1,68
743,5,166
744,3,103
745,1,58
746,4,79
747,1,71
748,6,292
749,1,61
750,4,131
751,1,67
752,5,120
753,3,153
754,2,73
755,3,89
756,2,107
757,3,86
758,3,76
759,1,98
760,4,98
761,6,210
762,4,150
763,3,150
764,3,70
765,2,82
766,2,92
767,3,98
768,4,211
769,7,108
770,4,50
771,1,82
772,5,112
773,0,144
774,1,52
775,1,104
776,4,81
777,5,69
778,5,172
779,1,71
780,0,117
781,1,47
782,4,111
783,4,209
784,4,79
785,4,162
786,5,181
787,3,129
788,4,141
789,4,84
790,2,70
791,3,105
792,13,469
793,1,155
794,2,117
795,2,84
796,4,200
797,2,57
798,1,243
799,4,150
800,3,140
801,3,174
802,15,979
803,6,249
804,2,177
805,6,121
806,9,343
807,1,88
808,3,118
809,6,141
810,1,117
811,1,92
812,1,86
813,1,162
814,1,64
815,1,92
816,4,136
817,1,35
818,1,157
819,18,510
820,29,508
821,21,488
822,9,295
823,5,107
824,9,226
825,3,138
826,35,918
827,5,236
828,5,247
829,4,199
830,3,172
831,5,116
832,5,125
833,4,97
834,3,103
835,1,105
836,3,155
837,5,119
838,3,110
839,0,177
840,4,62
841,5,208
842,7,225
843,1,110
844,9,137
845,1,52
846,6,153
847,6,297
848,3,101
849,3,97
850,73,341
851,1,60
852,10,202
853,4,72
854,2,103
855,5,196
856,8,289
857,3,50
858,4,64
859,1,36
860,4,84
861,5,254
862,4,169
863,4,110
864,4,99
865,4,132
866,1,65
867,2,110
868,1,72
869,6,140
870,4,173
871,3,106
872,3,172
873,1,89
874,3,100
875,2,66
876,4,142
877,5,192
878,12,343
879,4,54
880,1,68
881,4,99
882,24,434
883,6,139
884,3,85
885,1,117
886,1,284
887,91,1143
888,1,92
889,6,65
890,5,99
891,1,221
892,2,65
893,3,168
894,2,91
895,4,79
896,7,282
897,2,74
898,1,103
899,15,201
900,3,112
901,4,44
902,4,98
903,2,168
904,1,41
905,4,128
906,1,67
907,2,112
908,5,220
909,4,251
910,5,179
911,4,166
912,1,58
913,4,114
914,4,170
915,5,337
916,1,60
917,3,98
918,3,63
919,4,83
920,1,77
921,12,366
922,2,72
923,4,84
924,3,72
925,4,147
926,4,143
927,4,64
928,1,90
929,5,162
930,1,251
931,8,402
932,3,118
933,5,148
934,1,56
935,8,186
936,8,445
937,3,115
938,4,262
939,5,82
940,5,157
941,12,501
942,8,148
943,4,110
944,1,146
945,2,75
946,1,109
947,4,94
948,4,189
949,2,189
950,6,153
951,2,135
952,1,81
953,1,60
954,8,412
955,5,238
956,6,138
957,1,46
958,4,185
959,3,57
960,3,308
961,1,46
962,4,138
963,1,70
964,6,192
965,1,90
966,1,89
967,1,115
968,3,122
969,5,87
970,4,101
971,4,213
972,4,68
973,4,140
974,3,105
975,4,198
976,6,111
977,15,811
978,5,302
979,1,113
980,5,164
981,3,151
982,1,107
983,6,160
984,4,219
985,1,135
986,2,104
987,3,114
988,1,171
989,6,187
990,8,197
991,4,89
992,8,303
993,1,161
994,1,93
995,4,49
996,4,103
997,22,478
998,3,100
999,1,110
1000,2,55
1001,4,95
1002,6,174
1003,1,31
1004,7,158
1005,1,116
1006,1,86
1007,1,121
1008,4,139
1009,1,71
1010,7,298
1011,2,111
1012,0,148
1013,8,161
1014,5,168
1015,1,141
1016,7,274
1017,15,375
1018,5,127
1019,1,135
1020,3,108
1021,7,123
1022,1,52
1023,4,232
1024,6,121
1025,1,83
1026,1,113
1027,9,334
1028,18,446
1029,8,163
1030,4,151
1031,1,181
1032,5,266
1033,1,32
1034,4,98
1035,5,219
1036,4,233
1037,101,2641
1038,6,60
1039,3,49
1040,4,266
1041,4,101
1042,3,55
1043,1,251
1044,3,271
1045,3,104
1046,4,113
1047,34,565
1048,2,179
1049,4,113
1050,1,128
1051,3,159
1052,39,451
1053,2,179
1054,0,52
1055,0,136
1056,1,141
1057,3,109
1058,6,140
1059,4,107
1060,2,110
1061,5,191
1062,1,66
1063,7,181
1064,1,186
1065,4,132
1066,6,163
1067,1,83
1068,11,150
1069,1,69
1070,1,82
1071,2,158
1072,3,91
1073,4,114
1074,4,179
1075,1,42
1076,5,121
1077,2,54
1078,1,30
1079,3,348
1080,16,750
1081,8,142
1082,4,97
1083,5,89
1084,5,105
1085,1,168
1086,3,272
1087,1,94
1088,4,96
1089,1,107
1090,3,79
1091,3,55
1092,4,101
1093,1,205
1094,16,190
1095,2,102
1096,1,73
1097,1,72
1098,2,76
1099,5,71
1100,6,169
1101,2,68
1102,4,133
1103,1,120
1104,5,190
1105,3,196
1106,5,108
1107,3,179
1108,4,143
1109,1,103
1110,4,105
1111,3,140
1112,8,250
1113,2,93
1114,4,161
1115,5,98
1116,1,118
1117,4,144
1118,1,82
1119,1,68
1120,5,101
1121,3,109
1122,58,835
1123,0,30
1124,1,68
1125,1,47
1126,26,1218
1127,2,83
1128,1,65
1129,1,78
1130,1,66
1131,1,101
1132,4,146
1133,30,608
1134,5,142
1135,4,96
1136,4,156
1137,1,87
1138,3,132
1139,6,172
1140,5,291
1141,12,318
1142,2,77
1143,4,153
1144,0,21
1145,1,107
1146,3,84
1147,7,57
1148,4,88
1149,4,145
1150,4,174
1151,4,120
1152,4,85
1153,1,71
1154,3,77
1155,1,91
1156,1,100
1157,1,112
1158,4,142
1159,4,97
1160,2,79
1161,4,59
1162,2,113
1163,3,90
1164,1,66
1165,1,71
1166,1,115
1167,4,144
1168,4,135
1169,1,67
1170,4,167
1171,4,59
1172,5,96
1173,4,107
1174,1,83
1175,0,104
1176,5,174
1177,4,136
1178,1,79
1179,6,142
1180,1,55
1181,3,62
1182,3,42
1183,4,52
1184,3,33
1185,12,267
1186,0,45
1187,1,67
1188,0,68
1189,1,70
1190,2,105
1191,1,47
1192,5,138
1193,11,355
1194,7,107
1195,0,81
1196,2,95
1197,1,68
1198,4,136
1199,3,47
1200,1,142
1201,1,87
1202,4,99
1203,4,59
1204,1,96
1205,6,282
1206,2,62
1207,4,130
1208,3,67
1209,2,49
1210,4,97
1211,5,224
1212,2,429
1213,1,107
1214,2,87
1215,2,97
1216,4,85
1217,1,79
1218,4,110
1219,1,115
1220,1,135
1221,1,38
1222,4,74
1223,1,115
1224,4,160
1225,3,95
1226,5,98
1227,19,1556
1228,1,129
1229,6,96
1230,1,76
1231,0,55
1232,1,49
1233,1,81
1234,3,174
1235,1,130
1236,5,181
1237,1,59
1238,4,138
1239,4,92
1240,1,71
1241,3,72
1242,2,144
1243,4,134
1244,1,51
1245,3,174
1246,1,243
1247,2,45
1248,3,57
1249,1,236
1250,1,103
1251,4,188
1252,1,124
1253,2,435
1254,5,121
1255,3,118
1256,6,887
1257,1,107
1258,3,75
1259,9,230
1260,1,69
1261,4,57
1262,1,71
1263,4,151
1264,3,61
1265,1,59
1266,1,50
1267,1,86
1268,1,107
1269,7,252
1270,1,61
1271,1,256
1272,1,57
1273,1,176
1274,1,102
1275,1,44
1276,9,381
1277,1,83
1278,1,37
1279,1,112
1280,1,69
1281,1,135
1282,1,84
1283,2,197
1284,4,118
1285,1,102
1286,4,145
1287,1,99
1288,1,81
1289,1,144
1290,1,37
1291,4,117
1292,1,81
1293,5,175
1294,1,96
1295,1,48
1296,2,95
1297,4,72
1298,4,95
1299,2,61
1300,9,132
1301,2,80
1302,5,138
1303,1,50
1304,1,65
1305,16,379
